GROUPE;CAPITAL;BANQUE;TAUX;DUREE;RESULTAT
LAMMARI_Nermine;450000.00;CA;3.00;10;4345.23
LAMMARI_Nermine;450000.00;CA;3.00;15;3107.62
LAMMARI_Nermine;450000.00;CA;3.00;20;2495.69
LAMMARI_Nermine;450000.00;CA;4.00;10;4556.03
LAMMARI_Nermine;450000.00;CA;4.00;15;3328.60
LAMMARI_Nermine;450000.00;CA;4.00;20;2726.91
LAMMARI_Nermine;450000.00;BNP;3.00;10;4345.23
LAMMARI_Nermine;450000.00;BNP;3.00;15;3107.62
LAMMARI_Nermine;450000.00;BNP;3.00;20;2495.69
LAMMARI_Nermine;450000.00;BNP;4.00;10;4556.03
LAMMARI_Nermine;450000.00;BNP;4.00;15;3328.60
LAMMARI_Nermine;450000.00;BNP;4.00;20;2726.91
LAMMARI_Nermine;450000.00;LCL;3.00;10;4345.23
LAMMARI_Nermine;450000.00;LCL;3.00;15;3107.62
LAMMARI_Nermine;450000.00;LCL;3.00;20;2495.69
LAMMARI_Nermine;450000.00;LCL;4.00;10;4556.03
LAMMARI_Nermine;450000.00;LCL;4.00;15;3328.60
LAMMARI_Nermine;450000.00;LCL;4.00;20;2726.91
LAMMARI_Nermine;450000.00;CM;3.00;10;4345.23
LAMMARI_Nermine;450000.00;CM;3.00;15;3107.62
LAMMARI_Nermine;450000.00;CM;3.00;20;2495.69
LAMMARI_Nermine;450000.00;CM;4.00;10;4556.03
LAMMARI_Nermine;450000.00;CM;4.00;15;3328.60
LAMMARI_Nermine;450000.00;CM;4.00;20;2726.91
