GROUPE;CAPITAL;BANQUE;TAUX;DUREE;RESULTAT
Lydia&Omar;5000.00;CLC;0.03;10;48.28
Lydia&Omar;5000.00;CLC;0.03;15;34.53
Lydia&Omar;5000.00;CLC;0.03;20;27.73
Lydia&Omar;5000.00;CLC;0.04;10;50.62
Lydia&Omar;5000.00;CLC;0.04;15;36.98
Lydia&Omar;5000.00;CLC;0.04;20;30.30
Lydia&Omar;5000.00;BNP;0.03;10;48.28
Lydia&Omar;5000.00;BNP;0.03;15;34.53
Lydia&Omar;5000.00;BNP;0.03;20;27.73
Lydia&Omar;5000.00;BNP;0.04;10;50.62
Lydia&Omar;5000.00;BNP;0.04;15;36.98
Lydia&Omar;5000.00;BNP;0.04;20;30.30
Lydia&Omar;5000.00;CM;0.03;10;48.28
Lydia&Omar;5000.00;CM;0.03;15;34.53
Lydia&Omar;5000.00;CM;0.03;20;27.73
Lydia&Omar;5000.00;CM;0.04;10;50.62
Lydia&Omar;5000.00;CM;0.04;15;36.98
Lydia&Omar;5000.00;CM;0.04;20;30.30
Lydia&Omar;5000.00;BP;0.03;10;48.28
Lydia&Omar;5000.00;BP;0.03;15;34.53
Lydia&Omar;5000.00;BP;0.03;20;27.73
Lydia&Omar;5000.00;BP;0.04;10;50.62
Lydia&Omar;5000.00;BP;0.04;15;36.98
Lydia&Omar;5000.00;BP;0.04;20;30.30
Lydia&Omar;5000.00;CLC;0.03;10;48.28
Lydia&Omar;5000.00;CLC;0.03;15;34.53
Lydia&Omar;5000.00;CLC;0.03;20;27.73
Lydia&Omar;5000.00;CLC;0.04;10;50.62
Lydia&Omar;5000.00;CLC;0.04;15;36.98
Lydia&Omar;5000.00;CLC;0.04;20;30.30
Lydia&Omar;5000.00;BNP;0.03;10;48.28
Lydia&Omar;5000.00;BNP;0.03;15;34.53
Lydia&Omar;5000.00;BNP;0.03;20;27.73
Lydia&Omar;5000.00;BNP;0.04;10;50.62
Lydia&Omar;5000.00;BNP;0.04;15;36.98
Lydia&Omar;5000.00;BNP;0.04;20;30.30
Lydia&Omar;5000.00;CM;0.03;10;48.28
Lydia&Omar;5000.00;CM;0.03;15;34.53
Lydia&Omar;5000.00;CM;0.03;20;27.73
Lydia&Omar;5000.00;CM;0.04;10;50.62
Lydia&Omar;5000.00;CM;0.04;15;36.98
Lydia&Omar;5000.00;CM;0.04;20;30.30
Lydia&Omar;5000.00;BP;0.03;10;48.28
Lydia&Omar;5000.00;BP;0.03;15;34.53
Lydia&Omar;5000.00;BP;0.03;20;27.73
Lydia&Omar;5000.00;BP;0.04;10;50.62
Lydia&Omar;5000.00;BP;0.04;15;36.98
Lydia&Omar;5000.00;BP;0.04;20;30.30
